6.2800	0.1764	0.0000	63.5940	0.0000	6.2460	14.3473
6.2800	0.1770	0.0000	44.7459	0.0000	6.2452	14.3895
6.2800	0.1893	0.0000	108.3699	0.0000	6.2326	14.4340
6.2800	0.0872	0.0000	76.6380	0.0000	6.3356	14.4769
6.2800	-0.0815	0.0000	27.8385	0.0000	6.5055	14.5214
6.2800	0.0058	0.0000	55.9973	0.0000	6.3936	14.5648
6.2800	0.2747	0.0000	67.3016	0.0000	6.0011	14.6066
6.2800	0.2652	0.0000	108.4354	0.0000	6.1479	14.6507
6.2800	-0.0172	0.0000	5.9374	0.0000	6.4190	14.6940
6.2800	0.0416	0.0000	-3.0814	0.0000	6.3523	14.7373
6.2800	-0.0748	0.0000	15.1338	0.0000	6.4703	14.7814
6.2800	-0.0155	0.0000	6.3528	0.0000	6.4138	14.8244
6.2800	0.1081	0.0000	68.0025	0.0000	6.2873	14.8677
6.2800	-0.0601	0.0000	-34.9853	0.0000	6.4452	14.9122
6.2800	0.3698	0.0000	121.9455	0.0000	6.0163	14.9548
6.2800	0.3863	0.0000	149.2684	0.0000	6.0075	14.9970
6.2800	0.0645	0.0000	-11.1954	0.0000	6.3266	15.0411
6.2800	-0.0846	0.0000	-8.9144	0.0000	6.4817	15.0844
6.2800	0.3057	0.0000	147.3612	0.0000	6.0974	15.1270
6.2800	0.0702	0.0000	68.2988	0.0000	6.3215	15.1722
6.2800	0.3217	0.0000	155.3774	0.0000	6.0787	15.2133
6.2800	0.2249	0.0000	68.6341	0.0000	6.1925	15.2558
6.2800	-0.0204	0.0000	42.1353	0.0000	6.4251	15.2999
6.2800	-0.0426	0.0000	45.9935	0.0000	6.4485	15.3448
6.2800	0.3439	0.0000	108.9375	0.0000	6.0580	15.3870
6.2800	0.1341	0.0000	61.8035	0.0000	6.2629	15.4311
6.2800	0.0341	0.0000	50.2294	0.0000	6.3651	15.4740
6.2800	0.0488	0.0000	19.2388	0.0000	6.3501	15.5174
6.2800	0.1940	0.0000	110.6403	0.0000	6.2043	15.5599
6.2800	0.1489	0.0000	126.5623	0.0000	6.2508	15.6033
6.2800	0.0156	0.0000	60.8678	0.0000	6.3831	15.6470
6.2800	-0.0675	0.0000	34.7497	0.0000	6.5542	15.6911
6.2800	0.0343	0.0000	83.8901	0.0000	6.5777	15.7344
6.2800	0.2020	0.0000	95.6657	0.0000	6.1967	15.7758
